Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
U 254,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601686,1621794,Pr4,,sten
U 255,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601675,1621814,Pr3 - Pr4,Fot 2 (A),sten
U 256,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601680,1621816,Pr3,Fot 2 (A),sten
U 257,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601695,1621792,?,Fot 2 (A); Torgöt Fotsarve (S),sten
U 258 $,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601706,1621787,RAK,Gunnar (A),sten
U 259,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601699,1621783,Pr4,,sten
U 260,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601690,1621782,Pr4,Fot 2 (A),sten
U 261 $,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601719,1621794,Pr2 - Pr3?,Fot 2 (A),sten
U 262 †,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601684,1621805,Pr4?,Öpir 1 (S),sten
U 263 †,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601684,1621805,?,,sten
U 272,Hammarby kyrka,Hammarby sn,Vallentuna hd,Upplands-Väsby,6603830,1619834,Pr4,,sten
U 273,Hammarby kyrka,Hammarby sn,Vallentuna hd,Upplands-Väsby,6603856,1619883,Pr4?,Fot 2 (A); (Visäte (A)),sten
U 295 $,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608717,1621107,Pr4,,sten
U 296,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608730,1621099,?,,sten
U 297 $,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608753,1621110,Pr4,Samma som gjort U Fv1953;270 och U Fv1979;245.,sten
U 298,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608781,1621129,Pr4?,,sten
U 299,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608742,1621110,?,,sten
U 300 †,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608732,1621112,Pr4?,Fot 2 (A),sten
U 301 $,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608732,1621112,Pr4?,Åsmund (S),sten
U 302 $,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608734,1621098,?,,sten
U 303 †,Skånela kyrka,Skånela sn,Seminghundra hd,Sigtuna,6608732,1621112,?,,sten
